"","Age","SES1","SES2","threshold","minincome","maxincome","adj_inc","INR"
"675",26,3,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"676",63,2,"$70,000 - $79,999",18774,70000,80000,75000,3.99488654522212
"677",21,4,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"678",58,1,"$110,000-$119,999",14507,110000,120000,115000,7.92720755497346
"679",35,1,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"680",36,4,"$120,000-$129,999",24755,120000,130000,125000,5.04948495253484
"681",47,4,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"682",36,3,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"683",63,2,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"684",33,4,"$170,000-$179,999",24755,170000,180000,175000,7.06927893354878
"685",68,2,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"686",62,2,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"687",34,3,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"688",71,2,"$80,000 - $89,999",12486,80000,90000,85000,6.80762453948422
"689",34,3,"$80,000 - $89,999",12486,80000,90000,85000,6.80762453948422
"690",28,3,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"691",57,2,"$110,000-$119,999",12486,110000,120000,115000,9.21031555341983
"692",31,4,"$120,000-$129,999",16072,120000,130000,125000,7.7775012444002
"693",56,2,"$130,000-$139,999",16072,130000,140000,135000,8.39970134395221
"694",40,4,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"695",47,3,"$160,000-$169,999",24755,160000,170000,165000,6.66532013734599
"696",72,2,"$90,000 - $99,999",24755,90000,1e+05,95000,3.83760856392648
"697",31,4,"$70,000 - $79,999",16072,70000,80000,75000,4.66650074664012
"698",20,1,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"699",49,1,"$80,000 - $89,999",12486,80000,90000,85000,6.80762453948422
"701",58,2,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"702",60,3,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"703",41,2,"$100,000 - $109,999",18774,1e+05,110000,105000,5.59284116331096
"704",55,1,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"705",33,2,"$150,000-$159,999",24755,150000,160000,155000,6.2613613411432
"706",72,1,"$80,000 - $89,999",29854,80000,90000,85000,2.84718965632746
"707",58,3,"$110,000-$119,999",16072,110000,120000,115000,7.15530114484818
"708",33,3,"$170,000-$179,999",24755,170000,180000,175000,7.06927893354878
"709",37,3,"$100,000 - $109,999",18774,1e+05,110000,105000,5.59284116331096
"710",68,1,"$70,000 - $79,999",18774,70000,80000,75000,3.99488654522212
"711",30,2,"$140,000-$149,999",18774,140000,150000,145000,7.72344732076276
"712",28,1,"$20,000 - $29,999",18774,20000,30000,25000,1.33162884840737
"713",33,1,"$90,000 - $99,999",24755,90000,1e+05,95000,3.83760856392648
