subID,HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP8,Age,BIS1,BIS2,BIS3,BIS4,BIS5,BIS6,BIS7,BIS8,BIS9,BIS10,BIS11,BIS12,BIS13,BIS14,BIS15,BIS16,BIS17,BIS18,BIS19,BIS20,BIS21,BIS22,BIS23,BIS24,BIS25,BIS26,BIS27,BIS28,BIS29,BIS30,BIS_score,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,BFI_C_score,P_Q1TP,P_Q2RCS,P_Q3RTP,P_Q4RCS,P_Q5CS,P_Q6RMF,P_Q7TP,P_Q8CS,P_Q9MF,P_Q10RMF,P_Q11RTP,P_Q12RCS,P_Q13RMF,P_Q14TP,P_Q15CS,P_Q16MF,P_Q17CS,P_Q18RCS,P_Q19MF,P_Q20RTP,P_Q21RCS,P_Q22RMF,P_Q23TP,P_Q24MF,P_QR25TP,P_Q26CS,P_Q27MF,P_Q28TP,P_Q29RMF,P_Q30RTP,Planfulness_score,Age,SES1,SES2,threshold,minincome,maxincome,adj_inc,INR
146,1,1,1,1,1,5,5,5,60,1,2,2,2,1,1,1,1,3,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,2,1,5,4,3,4,5,5,4,4,4,1,5,4,4,3,4,1,2,3,4,5,5,5,3,2,3,5,4,3,4,5,5,5,4,5,1,5,2,3,4,5,4,1,3.636363636,1,5,5,5,5,4,2,4,4,2,4,2,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3.733333333,NA,NA,NA,NA,NA,NA,NA,NA
147,2,4,4,1,5,2,5,4,22,2,1,3,1,1,2,1,1,1,1,1,1,4,1,2,2,4,3,1,4,2,3,3,1,1,3,4,4,2,2,2.066666667,2,1,5,5,2,3,4,2,4,3,2,4,4,3,2,1,3,3,5,5,1,1,2,4,5,5,5,5,4,3,2,4,5,3,4,4,3,4,3,4,3,5,2,3,3.340909091,1,3,1,1,1,2,3,3,1,2,3,5,2,1,3,2,4,5,4,1,5,4,2,4,4,4,1,2,2,3,2.633333333,22,6,"$40,000 - $49,999",34337,40000,50000,45000,1.310539651
148,1,1,1,1,1,5,5,5,35,1,1,1,2,1,4,2,1,2,2,1,1,3,1,4,1,1,4,1,2,1,2,3,2,2,2,2,1,3,2,1.866666667,1,5,4,1,1,4,5,3,3,4,2,1,5,3,3,1,4,4,5,4,4,3,2,3,1,1,2,1,4,3,5,5,5,3,4,1,1,5,5,3,5,5,3,1,3.136363636,5,3,2,4,4,2,3,4,3,2,5,4,4,2,2,2,2,4,3,2,3,2,4,3,3,4,4,5,2,4,3.2,35,4,"$70,000 - $79,999",24755,70000,80000,75000,3.029690972
149,1,2,1,1,1,5,4,1,60,2,2,3,4,1,2,1,1,2,2,3,2,2,1,3,1,2,2,2,2,1,3,2,2,2,2,3,2,1,3,2.033333333,5,2,4,1,5,1,5,3,4,5,4,1,5,2,5,4,5,4,4,4,1,4,4,5,4,4,1,4,1,3,1,5,4,4,2,5,1,4,3,4,4,4,4,2,3.431818182,4,3,2,4,3,4,3,3,4,2,4,2,3,2,4,2,4,3,3,2,2,4,4,4,2,2,4,4,4,3,3.133333333,60,2,"$30,000 - $39,999",16072,30000,40000,35000,2.177700348
150,4,4,2,1,1,5,4,3,48,1,1,3,4,1,3,2,1,1,2,3,1,1,3,2,1,2,3,3,1,1,3,1,2,3,2,1,2,2,1,1.9,5,1,5,1,5,2,5,2,5,5,5,2,5,4,5,5,5,4,1,5,2,4,5,5,5,5,2,5,4,4,2,5,5,5,2,5,4,5,1,5,2,5,4,4,3.909090909,5,2,1,2,4,4,4,4,4,4,2,5,5,4,4,4,5,4,4,4,4,4,5,4,4,4,5,5,4,4,3.933333333,48,2,"$30,000 - $39,999",16072,30000,40000,35000,2.177700348
151,1,1,1,1,1,5,5,5,69,2,1,3,4,2,2,1,1,1,1,3,1,4,1,2,1,1,2,2,1,1,1,2,1,1,2,3,2,1,2,1.733333333,4,2,5,1,4,5,5,5,5,4,3,1,5,1,4,4,5,3,1,4,5,5,4,5,3,3,1,5,1,3,4,5,4,5,3,5,1,5,1,5,3,5,3,3,3.590909091,5,3,3,2,4,4,5,4,4,4,2,3,4,3,5,3,4,4,4,3,5,3,5,5,2,3,3,5,4,3,3.7,69,1,"$40,000 - $49,999",11511,40000,50000,45000,3.909304144
152,3,1,1,1,1,5,5,3,55,1,2,2,3,1,1,1,2,2,1,1,2,3,1,3,1,1,1,2,3,1,2,2,1,1,1,2,1,1,2,1.6,4,2,5,2,4,3,4,4,3,4,4,1,4,3,4,4,5,4,4,3,3,5,4,4,4,2,2,4,2,4,3,5,4,4,3,4,1,4,4,4,2,5,4,3,3.522727273,4,3,3,4,4,4,4,4,4,2,4,3,4,4,4,4,4,3,4,4,4,3,4,4,3,5,4,3,4,3,3.7,55,2,"$500,000-$999,999",16072,5.00E+05,1.00E+06,750000,46.66500747
153,4,2,2,2,2,5,4,2,50,3,2,4,3,1,1,2,2,2,2,1,2,2,2,2,1,2,1,3,2,1,2,1,2,2,1,2,1,3,3,1.933333333,5,4,5,2,5,2,4,3,5,5,4,3,5,4,4,4,4,4,2,4,2,2,4,4,5,4,2,4,4,5,2,4,4,5,4,5,4,4,2,4,2,4,4,4,3.772727273,5,4,2,4,5,4,4,4,4,2,4,4,2,4,4,2,5,4,5,3,2,4,4,4,3,4,5,4,2,4,3.7,50,1,"$50,000 - $59,999",12486,50000,60000,55000,4.404933526
154,2,1,1,2,2,5,4,4,26,1,2,2,3,2,3,2,2,2,2,4,2,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,3,2,1.966666667,2,4,4,4,4,4,4,4,2,4,4,1,5,4,3,4,4,4,5,4,4,4,5,2,5,4,2,5,2,4,4,4,4,2,5,2,2,5,5,4,4,5,4,2,3.704545455,5,2,4,4,5,4,4,5,5,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3.9,26,5,"$30,000 - $39,999",29854,30000,40000,35000,1.172372211
155,2,2,1,1,1,5,4,4,52,2,2,2,3,1,2,2,2,3,4,2,3,4,2,4,1,2,1,2,2,1,1,1,1,2,1,2,2,2,3,2.066666667,4,1,5,4,4,1,5,4,2,4,2,1,5,4,4,5,5,4,4,4,2,5,4,4,4,4,1,4,4,4,3,5,5,4,3,5,1,4,4,4,2,4,4,3,3.613636364,4,3,3,4,4,3,3,4,4,3,3,4,4,3,4,4,4,4,4,3,4,3,3,4,4,3,3,3,3,3,3.5,52,4,"$10,000 - $19,999",24755,10000,20000,5000,0.201979398
156,1,3,1,4,1,5,4,3,62,2,2,2,2,1,2,3,3,3,2,1,2,2,1,3,1,2,1,2,2,1,2,2,1,1,2,3,1,3,2,1.9,1,3,3,2,5,5,5,4,5,4,3,1,5,3,2,3,5,5,3,2,5,5,3,4,5,3,3,5,4,4,4,4,4,4,4,3,1,5,1,5,3,4,4,3,3.613636364,4,4,2,3,4,4,4,4,4,4,3,3,5,4,4,4,4,3,3,4,4,4,4,4,1,4,5,2,3,4,3.633333333,62,2,"$40,000 - $49,999",16072,40000,50000,45000,2.799900448
157,3,1,1,1,1,3,4,3,67,4,2,2,2,2,3,4,1,3,4,2,2,4,2,4,1,2,4,2,2,2,1,2,1,1,2,4,4,3,4,2.533333333,1,4,4,5,1,5,4,4,2,5,1,1,4,5,3,3,5,2,5,3,5,4,2,4,2,3,5,5,4,3,4,5,4,3,3,3,2,4,3,2,4,4,4,3,3.454545455,4,4,2,1,3,3,2,3,3,2,1,1,4,2,4,3,3,1,4,3,2,3,4,2,2,3,3,4,4,5,2.833333333,67,3,"$50,000 - $59,999",18774,50000,60000,55000,2.929583466
158,3,1,1,1,1,5,5,5,39,2,1,2,4,1,1,3,1,2,3,2,2,3,1,2,2,1,1,1,2,2,2,1,2,1,2,3,2,1,3,1.866666667,4,3,5,2,5,4,5,4,4,5,5,1,5,3,3,5,5,3,4,4,3,5,5,5,5,4,1,5,2,5,4,5,4,4,2,5,1,5,3,5,5,5,3,4,3.954545455,5,4,3,3,4,4,3,3,5,4,2,2,4,4,4,5,5,1,4,4,5,5,4,3,3,5,3,3,5,3,3.733333333,39,1,"$20,000 - $29,999",12486,20000,30000,25000,2.002242512
159,1,3,1,1,1,5,4,5,60,2,2,3,3,1,2,3,1,2,4,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,2,3,3,1.9,5,3,5,4,3,5,5,5,1,5,2,1,5,5,3,2,4,5,5,2,1,5,4,3,2,4,2,4,4,3,4,4,5,3,2,3,1,5,4,4,2,4,5,2,3.522727273,5,2,3,4,4,3,3,4,4,3,5,2,3,3,4,3,4,4,4,4,3,3,4,5,3,3,4,3,2,4,3.5,60,2,"$50,000 - $59,999",16072,50000,60000,55000,3.422100548
160,5,4,5,3,4,5,5,5,24,1,2,2,1,1,4,1,2,2,2,3,1,1,2,3,1,3,1,2,1,1,2,3,1,1,1,1,1,2,1,1.666666667,4,4,5,5,5,4,5,2,2,5,5,4,5,5,5,5,5,1,5,5,4,5,2,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,5,4.386363636,5,4,1,4,5,3,4,5,3,3,5,2,4,5,5,3,5,1,5,1,1,3,5,5,2,2,5,5,1,5,3.566666667,24,5,"$20,000 - $29,999",29854,20000,30000,25000,0.837408722
161,2,1,1,2,3,5,5,1,23,1,1,4,3,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,1,2,1.866666667,4,3,5,1,4,4,4,3,5,5,5,2,5,3,5,4,5,5,3,5,3,5,5,4,4,4,3,4,3,5,3,3,4,5,5,4,3,5,2,4,5,4,3,5,3.977272727,4,5,1,4,4,5,4,5,4,5,2,5,5,5,5,5,5,3,5,5,5,5,5,4,2,4,5,5,1,5,4.233333333,NA,NA,NA,NA,NA,NA,NA,NA
162,4,2,1,1,1,5,4,4,65,3,2,2,1,1,2,3,3,3,4,3,2,3,2,3,3,2,2,2,2,2,2,2,1,1,2,2,1,2,3,2.2,4,4,5,2,4,3,4,4,3,4,2,1,5,4,4,4,4,4,4,4,2,4,2,3,4,3,2,4,3,4,3,4,4,3,4,4,2,4,4,4,2,4,2,4,3.454545455,5,3,3,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,2,2,3,4,4,2,3,4,4,2,4,3.5,65,1,"$10,000 - $19,999",11511,10000,20000,5000,0.434367127
163,1,2,1,1,1,4,5,5,39,2,2,3,3,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,1,1.666666667,5,1,5,1,5,1,5,5,4,5,4,1,5,4,5,4,5,2,4,5,1,5,5,3,4,4,1,5,4,5,1,5,4,4,2,5,1,5,2,5,2,5,5,5,3.727272727,5,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4.166666667,39,5,"$100,000 - $109,999",29854,1.00E+05,110000,105000,3.517116634
164,1,4,1,2,2,4,3,4,70,3,2,3,1,2,3,3,3,3,4,3,3,2,3,3,4,3,2,2,3,4,2,3,2,2,2,1,3,3,3,2.666666667,3,4,4,5,4,3,4,3,2,4,4,2,5,4,4,3,3,3,4,4,4,5,5,2,4,2,4,3,4,4,5,4,3,3,2,2,4,3,4,2,2,3,2,1,3.386363636,4,2,2,4,3,2,1,2,3,1,5,2,2,4,1,3,4,3,4,2,2,2,3,2,3,2,2,1,2,4,2.566666667,70,3,"$40,000 - $49,999",18774,40000,50000,45000,2.396931927
165,4,3,1,2,1,5,4,2,32,2,1,3,3,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,3,1,2,2,1,2,1,1.666666667,5,3,4,2,2,1,5,4,4,4,5,2,5,2,4,4,5,5,2,2,1,4,5,4,2,4,2,4,3,4,2,5,4,4,3,5,2,4,1,4,4,4,4,3,3.454545455,4,4,4,3,5,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,2,4,3,4,3,4,4,2,4,4,3.7,32,5,"$350,000-$399,999",29854,350000,4.00E+05,375000,12.56113084
166,1,2,2,1,1,5,5,4,35,2,2,3,3,2,4,1,2,2,1,2,3,1,2,2,1,2,1,3,2,1,1,1,2,1,2,2,1,1,1,1.8,2,4,5,1,4,5,5,4,4,5,3,2,5,4,4,2,4,5,3,4,4,2,5,4,4,3,4,4,2,4,4,4,5,4,5,3,3,4,5,4,5,5,4,4,3.863636364,4,4,2,4,4,4,5,4,4,4,5,4,4,3,4,3,5,5,4,4,4,5,4,4,4,3,4,4,4,4,4,35,2,"$110,000-$119,999",16072,110000,120000,115000,7.155301145
167,3,1,2,1,1,5,4,3,35,2,2,1,2,1,2,3,4,3,4,3,3,4,2,3,3,4,3,2,3,1,2,1,3,2,2,3,2,2,4,2.533333333,4,4,5,5,4,3,4,4,1,4,2,1,4,4,5,1,5,4,5,4,1,5,2,2,4,5,2,4,4,4,3,5,4,4,1,5,2,4,3,3,4,5,4,4,3.568181818,4,3,2,2,2,1,1,4,3,2,3,1,2,4,2,1,3,1,4,3,3,2,3,3,2,4,2,2,2,3,2.466666667,35,4,"$50,000 - $59,999",24755,50000,60000,55000,2.221773379
168,1,5,4,1,4,5,2,4,41,1,2,2,1,2,3,1,2,3,1,1,2,2,2,1,3,3,2,3,1,1,2,1,2,1,2,2,1,1,1,1.733333333,1,4,4,5,5,5,4,2,1,5,2,1,4,5,5,4,4,2,5,4,4,4,4,4,4,1,5,4,5,5,5,4,5,4,4,2,4,4,5,3,2,4,1,4,3.704545455,5,2,2,4,5,2,4,4,2,1,5,4,5,3,4,4,5,4,5,4,5,5,4,4,2,5,2,5,1,4,3.7,41,2,"$100,000 - $109,999",16072,1.00E+05,110000,105000,6.533101045
169,1,2,1,1,1,3,4,1,47,3,3,3,1,1,2,2,3,3,4,1,3,4,2,4,2,3,2,2,3,1,2,1,1,2,3,1,1,2,3,2.266666667,1,2,4,4,2,5,3,4,4,4,1,1,5,1,3,1,3,5,2,1,4,4,4,4,1,4,4,3,3,3,4,3,4,4,4,2,2,4,3,3,4,4,4,2,3.113636364,4,3,2,4,4,2,4,4,4,2,2,4,3,3,4,3,4,4,4,2,2,3,3,4,4,2,2,4,2,4,3.2,47,3,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
170,1,2,2,4,3,3,4,3,33,3,2,2,1,2,1,3,3,3,2,3,3,3,2,3,1,2,1,2,3,1,3,1,2,1,2,3,3,3,4,2.266666667,1,4,4,1,1,4,3,2,2,3,2,3,4,5,2,2,3,4,4,3,3,4,3,3,2,2,4,2,4,2,4,3,3,2,4,2,4,4,4,2,2,3,3,2,2.909090909,4,4,3,4,3,2,3,4,3,2,2,2,4,2,4,4,4,4,2,2,2,3,2,2,4,2,2,3,3,2,2.9,33,5,"$110,000-$119,999",29854,110000,120000,115000,3.852080123
171,3,3,2,1,1,2,3,3,65,2,1,2,1,1,2,1,1,3,1,1,2,1,2,3,1,1,1,1,3,1,1,3,1,1,2,3,1,4,3,1.7,2,3,3,2,1,3,3,5,3,1,1,1,4,4,1,1,4,5,2,1,4,4,4,5,1,1,3,4,3,1,4,4,4,4,5,2,3,5,4,2,5,4,4,1,2.977272727,5,3,1,2,4,4,3,3,3,4,2,5,5,2,4,5,3,5,3,4,3,4,5,4,1,3,2,3,5,1,3.366666667,65,2,"$50,000 - $59,999",14507,50000,60000,55000,3.791273178
172,2,2,1,2,2,1,4,4,65,2,2,3,2,2,2,1,2,2,1,1,2,1,2,4,1,2,2,2,2,1,2,1,2,1,2,2,1,3,2,1.833333333,5,2,5,1,3,3,5,4,4,4,5,1,5,2,3,5,4,4,2,3,1,4,5,4,3,4,1,5,2,4,2,4,4,5,3,5,2,4,2,3,3,4,4,3,3.431818182,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,3.8,65,2,"$120,000-$129,999",14507,120000,130000,125000,8.616529951
173,4,2,4,2,3,2,4,3,27,2,2,2,2,3,3,2,3,3,3,2,3,3,2,3,1,2,1,2,3,2,3,1,2,3,2,2,2,2,2,2.266666667,2,4,4,2,3,5,3,3,4,2,3,2,5,3,3,4,3,4,3,4,5,4,3,2,3,3,2,3,3,3,5,3,4,3,4,2,3,2,3,3,4,3,4,2,3.227272727,3,4,3,4,4,4,4,4,2,3,5,4,4,3,4,3,3,4,3,4,5,3,3,3,4,3,2,3,4,4,3.533333333,27,1,"$40,000 - $49,999",12486,40000,50000,45000,3.604036521
174,3,2,1,1,1,5,5,5,48,2,2,3,4,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1.8,4,3,5,2,5,4,5,5,4,5,4,1,5,4,4,5,5,5,4,3,2,5,5,3,4,1,1,5,3,5,4,5,5,4,5,4,1,5,3,4,1,5,4,4,3.863636364,5,3,1,4,5,4,5,5,5,4,5,5,5,5,5,3,5,3,5,4,4,5,5,5,3,5,5,3,4,4,4.3,48,2,"$100,000 - $109,999",16072,1.00E+05,110000,105000,6.533101045
175,3,1,1,1,1,1,5,3,60,1,1,2,4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1.3,5,1,5,1,4,2,5,5,5,5,3,1,5,1,3,4,1,5,1,5,1,5,5,5,4,3,1,4,1,3,1,5,5,5,2,5,1,5,1,3,4,4,4,1,3.295454545,5,3,3,4,4,4,4,4,4,4,3,2,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,3,2,4,3.633333333,60,4,"$40,000 - $49,999",24755,40000,50000,45000,1.817814583
176,4,3,4,3,3,4,4,3,47,2,3,3,3,1,3,3,3,2,2,3,3,3,2,2,1,2,2,2,3,3,3,2,3,2,3,2,3,2,2,2.433333333,4,3,4,4,3,4,4,3,3,4,4,4,4,3,3,3,4,2,3,3,3,4,2,3,4,4,3,4,4,4,4,3,3,3,3,3,4,4,3,4,3,4,4,3,3.454545455,4,2,2,2,3,2,4,4,4,3,2,2,2,4,4,4,4,3,3,2,2,2,3,4,2,4,3,4,2,2,2.933333333,47,5,"$50,000 - $59,999",29854,50000,60000,55000,1.842299189
177,3,4,3,2,2,4,3,2,23,3,3,3,4,2,2,3,3,3,2,2,3,2,3,2,1,3,1,3,2,1,3,1,2,1,3,2,2,3,2,2.333333333,2,5,4,4,5,4,4,3,4,5,3,2,4,4,5,3,4,4,4,4,5,2,2,4,4,4,2,4,4,4,4,3,4,4,2,2,2,4,2,5,3,4,4,4,3.613636364,4,2,2,2,5,4,4,4,4,3,4,1,4,4,5,3,4,2,4,4,5,4,4,5,3,5,4,4,5,3,3.7,23,1,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053
178,2,1,1,1,1,5,5,5,68,1,1,3,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,3,1,4,3,1.5,5,1,5,1,5,4,5,5,5,5,5,1,5,1,4,5,5,5,1,5,1,5,5,5,5,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,5,5,3.772727273,5,5,2,2,4,5,5,5,5,4,4,5,4,4,4,4,5,4,4,5,5,4,4,4,2,4,4,4,5,4,4.166666667,68,1,"$90,000 - $99,999",11511,90000,1.00E+05,95000,8.252975415
179,1,5,1,1,1,5,5,5,19,1,2,4,2,1,4,1,1,2,3,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,3,1,1,3,1.633333333,5,2,5,5,5,4,5,1,1,5,2,1,5,5,5,3,4,1,5,5,1,5,2,1,4,5,4,5,5,5,4,4,5,1,5,1,1,5,4,4,1,4,1,5,3.545454545,5,4,3,5,5,4,4,5,4,1,1,5,5,4,4,4,4,5,2,5,4,2,3,4,2,4,2,4,2,1,3.566666667,19,4,"$100,000 - $109,999",24755,1.00E+05,110000,105000,4.24156736
180,1,1,1,1,1,5,5,5,37,2,1,3,3,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,3,1,2,1,2,2,1,1,2,2,2,1.633333333,5,1,5,1,5,3,5,5,5,5,3,1,5,1,3,4,5,5,3,5,4,5,5,5,5,3,1,5,4,4,4,5,5,5,3,5,3,5,2,5,2,5,5,5,3.977272727,4,1,5,5,4,5,4,3,5,5,5,5,5,5,5,5,5,1,5,5,5,5,3,3,3,4,5,2,3,5,4.166666667,37,1,"$50,000 - $59,999",12486,50000,60000,55000,4.404933526
181,2,1,1,1,1,5,5,5,36,1,1,3,3,1,1,2,1,1,1,1,1,1,1,4,1,1,2,1,2,1,2,1,1,1,1,2,1,3,2,1.5,2,1,5,2,4,4,5,4,5,4,4,1,5,1,4,2,5,5,1,4,4,2,5,5,4,2,1,5,1,4,4,5,5,5,4,2,1,5,1,4,2,5,5,2,3.431818182,5,5,2,2,5,4,5,4,5,1,2,4,5,2,4,5,4,4,5,5,4,5,2,4,4,4,3,4,2,4,3.8,36,3,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
182,1,4,2,4,2,1,2,1,60,3,3,3,2,2,1,2,2,2,4,2,2,3,3,2,1,1,2,2,2,1,3,2,1,3,3,3,2,2,3,2.233333333,1,4,4,4,5,5,4,2,3,4,2,4,5,4,4,1,3,2,4,5,5,4,2,2,4,1,4,3,5,4,5,2,2,2,4,1,4,3,4,5,2,2,2,3,3.295454545,4,3,2,3,4,2,4,3,4,1,2,2,1,2,2,2,4,4,4,1,2,4,3,2,2,4,2,4,4,3,2.8,60,2,"$50,000 - $59,999",16072,50000,60000,55000,3.422100548
183,1,4,2,2,4,3,4,2,39,4,2,2,1,2,2,4,1,3,4,4,1,4,2,2,2,1,2,2,1,1,2,4,2,2,2,2,3,2,2,2.266666667,4,4,4,2,5,4,3,2,4,5,2,3,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,2,4,3,4,2,4,4,2,3,4,2,2,5,2,4,2,4,3.340909091,4,2,3,4,4,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,2,4,4,2,4,3,4,2,4,3.466666667,39,5,"$60,000 - $69,999",29854,60000,70000,65000,2.177262678
184,1,2,1,1,1,5,5,5,58,1,1,3,4,1,2,1,1,2,3,1,1,4,1,2,1,1,1,1,2,1,1,2,1,1,2,4,1,2,3,1.733333333,3,1,5,3,4,2,5,5,4,5,4,1,5,4,4,4,3,5,4,3,3,5,5,3,4,5,1,4,2,4,2,5,5,5,4,5,1,5,4,4,1,5,1,3,3.636363636,5,5,2,3,5,4,5,5,5,5,4,5,5,3,4,2,5,3,5,4,5,5,3,3,4,3,4,4,5,4,4.133333333,58,3,"$50,000 - $59,999",18774,50000,60000,55000,2.929583466
185,4,1,1,1,1,5,5,4,46,2,2,3,2,1,3,3,3,2,3,3,3,2,2,4,3,2,3,2,2,2,2,1,1,2,1,2,3,2,3,2.3,4,4,5,4,2,2,4,4,3,2,1,2,5,4,1,3,4,4,5,2,3,5,2,2,2,3,1,4,5,1,4,4,3,2,5,3,1,2,5,1,1,5,4,1,3.045454545,5,4,2,4,4,3,4,4,4,3,4,4,4,3,4,2,3,4,3,3,2,4,4,4,2,2,4,4,4,3,3.466666667,46,4,"$30,000 - $39,999",24755,30000,40000,35000,1.413855787
186,4,1,1,1,1,5,5,1,77,2,1,2,4,2,2,1,2,3,3,2,2,1,1,3,1,2,2,2,2,1,1,3,1,1,2,2,2,2,3,1.933333333,4,2,5,1,3,4,4,5,4,4,4,1,5,3,4,3,3,5,3,3,2,4,4,5,3,3,1,4,1,3,3,5,4,4,3,5,1,4,2,3,4,5,3,1,3.340909091,4,4,3,4,4,4,4,4,4,4,2,5,5,3,4,2,4,3,4,3,4,3,5,4,3,4,3,3,4,3,3.666666667,77,2,"$60,000 - $69,999",14507,60000,70000,65000,4.480595575
187,3,3,1,1,1,5,4,5,28,3,2,1,2,1,4,3,2,3,3,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,3,2,1.933333333,3,1,5,3,5,3,5,3,5,5,5,1,5,4,5,5,5,5,1,5,3,5,5,3,5,2,2,5,2,5,3,5,5,5,3,4,1,5,2,5,1,5,3,4,3.795454545,5,4,3,3,5,4,5,5,4,5,5,3,5,4,5,3,5,3,4,5,4,5,5,5,3,5,5,4,4,5,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA
188,4,2,4,2,2,5,2,3,32,2,3,3,1,4,3,3,2,3,2,3,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2.733333333,4,3,1,4,4,1,4,4,2,5,4,1,4,1,3,4,3,3,2,4,3,1,5,5,2,2,2,3,2,4,3,3,3,4,4,3,1,3,2,4,2,4,4,2,3,2,3,2,3,3,1,3,1,5,5,4,3,4,3,2,4,2,4,4,5,4,2,2,3,2,4,1,2,3,3,2.966666667,32,1,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053
189,2,1,1,1,1,5,5,5,60,3,1,2,2,1,1,3,2,3,4,1,1,4,1,3,1,1,1,1,2,1,2,2,1,2,1,3,2,3,3,1.933333333,2,3,3,5,3,5,4,5,1,5,1,3,4,4,3,2,4,3,4,4,5,5,2,3,2,3,3,3,3,4,5,5,4,3,4,2,3,2,2,3,2,4,4,2,3.318181818,4,3,2,2,3,3,2,4,3,2,3,3,3,2,2,3,4,3,3,4,3,3,4,4,3,2,3,4,3,2,2.966666667,60,2,"$30,000 - $39,999",16072,30000,40000,35000,2.177700348
190,4,4,1,1,2,4,5,4,18,1,3,4,2,3,4,3,3,3,3,2,2,1,3,2,4,4,4,3,2,4,2,4,3,4,3,3,4,1,2,2.866666667,5,2,4,4,5,4,5,5,4,5,5,1,4,4,5,4,5,1,4,5,5,4,1,5,4,2,2,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4.090909091,4,1,2,1,4,2,5,4,5,2,2,1,2,5,4,5,4,1,4,1,2,1,4,5,2,5,4,5,2,1,3,18,3,"$50,000 - $59,999",18774,50000,60000,55000,2.929583466
191,4,5,5,2,2,4,5,5,37,2,3,3,3,2,2,2,2,2,2,3,2,2,4,1,1,4,3,2,2,3,2,3,3,4,3,2,3,2,1,2.433333333,5,5,5,1,4,3,4,1,4,4,4,2,4,2,4,4,4,4,5,4,4,4,4,3,5,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,1,1,1,5,1,5,5,5,1,1,1,3,5,5,5,5,2,4,1,2,2,5,4,2,5,5,4,1,2,3.133333333,37,4,"$140,000-$149,999",24755,140000,150000,145000,5.857402545
192,4,2,3,1,1,4,4,4,37,2,2,2,4,1,2,1,1,2,3,1,3,1,2,3,2,2,1,2,2,2,2,1,2,1,2,3,1,2,3,1.933333333,4,2,5,3,4,3,4,4,5,4,4,1,5,2,3,4,4,5,2,2,3,4,5,5,4,4,2,5,2,4,3,4,5,5,3,5,3,4,4,3,1,4,4,4,3.636363636,4,3,2,4,4,2,4,5,4,4,5,2,4,3,4,4,4,4,3,2,4,4,4,4,4,4,3,3,4,5,3.666666667,37,2,"$30,000 - $39,999",16072,30000,40000,35000,2.177700348
