subID,no_interior,no_variance,nlslist_converged,a,b,d
1,TRUE,FALSE,TRUE,0.945451731,1.070132992,0.98276765
2,TRUE,TRUE,TRUE,0.945451731,1.090692332,1.000104653
3,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
4,FALSE,FALSE,TRUE,0.945451731,0.71722845,0.944654004
5,FALSE,FALSE,TRUE,0.945451731,0.744204458,0.988242302
6,FALSE,FALSE,TRUE,0.945451731,0.961961408,0.984184116
7,TRUE,FALSE,FALSE,0.945451731,0.85555043,0.985854815
8,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
9,TRUE,FALSE,TRUE,0.945451731,1.049202622,0.992787833
10,TRUE,FALSE,TRUE,0.945451731,0.807116905,0.972409076
11,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
12,FALSE,FALSE,FALSE,0.945451731,1.011213237,0.998234801
13,TRUE,FALSE,TRUE,0.945451731,0.956547513,0.98742328
14,FALSE,FALSE,TRUE,0.945451731,0.964654059,0.997667724
15,TRUE,FALSE,FALSE,0.945451731,0.689179911,0.964721837
16,TRUE,FALSE,TRUE,0.945451731,0.905380522,0.990166355
17,TRUE,FALSE,TRUE,0.945451731,0.887261937,0.983361031
18,FALSE,FALSE,TRUE,0.945451731,0.759936209,0.986503308
19,TRUE,TRUE,FALSE,0.945451731,1.016259136,1.001863131
20,FALSE,FALSE,TRUE,0.945451731,0.807751418,0.972667675
21,TRUE,FALSE,FALSE,0.945451731,1.031357883,0.995301886
22,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
23,FALSE,FALSE,TRUE,0.945451731,1.149881881,0.979561197
24,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
25,FALSE,FALSE,TRUE,0.945451731,0.766317201,0.9401953
26,FALSE,FALSE,TRUE,0.945451731,0.783193792,1.002427873
27,FALSE,FALSE,TRUE,0.945451731,1.037661438,0.984917006
28,FALSE,FALSE,TRUE,0.945451731,1.059795672,0.997604134
29,FALSE,FALSE,TRUE,0.945451731,1.057956325,0.989724934
30,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
31,FALSE,FALSE,TRUE,0.945451731,0.956479453,0.980897463
32,FALSE,FALSE,TRUE,0.945451731,0.878963086,0.98797992
33,FALSE,FALSE,TRUE,0.945451731,0.914090703,0.982317571
34,TRUE,TRUE,FALSE,0.945451731,0.963375375,1.005768359
35,FALSE,FALSE,TRUE,0.945451731,0.925379721,0.988429661
36,TRUE,FALSE,FALSE,0.945451731,1.002247413,0.98615065
37,FALSE,FALSE,TRUE,0.945451731,0.770796307,0.942283119
38,FALSE,FALSE,TRUE,0.945451731,1.055325608,1.002444031
39,TRUE,FALSE,TRUE,0.945451731,0.767910178,0.965204626
40,TRUE,FALSE,TRUE,0.945451731,0.934330407,0.978401586
41,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
42,FALSE,FALSE,TRUE,0.945451731,0.763979524,0.9779973
43,TRUE,FALSE,TRUE,0.945451731,0.881536634,0.979599599
44,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
45,TRUE,FALSE,TRUE,0.945451731,0.937985594,0.999900535
47,FALSE,FALSE,FALSE,0.945451731,0.904181871,1.007511426
48,TRUE,FALSE,TRUE,0.945451731,0.931138586,0.960858988
49,FALSE,FALSE,TRUE,0.945451731,0.919914345,0.984558773
50,FALSE,FALSE,TRUE,0.945451731,0.864371698,1.00445306
51,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
52,FALSE,FALSE,TRUE,0.945451731,0.862614159,0.991820879
53,TRUE,FALSE,FALSE,0.945451731,1.087524379,1.000702141
54,FALSE,FALSE,TRUE,0.945451731,0.857475806,0.992776226
55,FALSE,FALSE,TRUE,0.945451731,0.903795679,0.983983036
56,FALSE,FALSE,TRUE,0.945451731,0.915951262,0.991815968
57,FALSE,FALSE,FALSE,0.945451731,0.709311681,0.940604188
58,TRUE,TRUE,TRUE,0.945451731,1.090692332,1.000104653
59,FALSE,FALSE,TRUE,0.945451731,0.652903188,0.964808986
60,TRUE,FALSE,FALSE,0.945451731,0.829817311,0.998767282
61,FALSE,FALSE,TRUE,0.945451731,0.997136638,1.000727261
62,FALSE,FALSE,TRUE,0.945451731,1.023359069,0.995715539
63,FALSE,FALSE,TRUE,0.945451731,0.929269065,0.978354273
64,TRUE,TRUE,FALSE,0.945451731,1.052978491,1.011302044
65,FALSE,FALSE,TRUE,0.945451731,0.953510322,0.995094416
66,FALSE,FALSE,TRUE,0.945451731,1.01266584,0.995014171
67,FALSE,FALSE,TRUE,0.945451731,0.94146087,0.98829537
68,FALSE,FALSE,TRUE,0.945451731,1.123639757,0.965143735
69,TRUE,TRUE,FALSE,0.945451731,0.963375375,1.005768359
70,TRUE,FALSE,TRUE,0.945451731,1.047069513,0.997521953
71,FALSE,FALSE,TRUE,0.945451731,1.07792018,0.987882179
72,TRUE,FALSE,TRUE,0.945451731,0.809002143,0.972406996
73,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
74,TRUE,FALSE,TRUE,0.945451731,0.913244811,0.995329142
75,FALSE,FALSE,TRUE,0.945451731,0.978929944,0.980548153
76,TRUE,TRUE,FALSE,0.945451731,1.052978491,1.011302044
77,TRUE,FALSE,FALSE,0.945451731,0.942218034,0.990053187
78,TRUE,TRUE,FALSE,0.945451731,1.052978491,1.011302044
79,TRUE,FALSE,TRUE,0.945451731,0.896436898,0.98571968
80,TRUE,FALSE,TRUE,0.945451731,0.926728885,0.981853752
81,FALSE,FALSE,TRUE,0.945451731,0.985924567,1.005735623
82,FALSE,FALSE,TRUE,0.945451731,0.931589514,0.992284742
83,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
84,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
85,FALSE,FALSE,TRUE,0.945451731,0.710073383,0.939523597
86,TRUE,FALSE,FALSE,0.945451731,0.942218034,0.990053187
87,TRUE,FALSE,TRUE,0.945451731,1.175217842,0.987293173
88,TRUE,TRUE,FALSE,0.945451731,1.052978491,1.011302044
89,FALSE,FALSE,TRUE,0.945451731,0.940736216,0.998564552
90,FALSE,FALSE,TRUE,0.945451731,0.93128608,0.989775704
91,FALSE,FALSE,TRUE,0.945451731,0.924078581,0.985910904
92,TRUE,TRUE,TRUE,0.945451731,1.090692332,1.000104653
93,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
94,FALSE,FALSE,TRUE,0.945451731,0.926257204,0.984191784
95,FALSE,FALSE,TRUE,0.945451731,0.870795592,0.995814286
96,FALSE,FALSE,TRUE,0.945451731,0.747063353,0.944722468
97,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
98,FALSE,FALSE,TRUE,0.945451731,0.979936039,0.984413896
99,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
100,FALSE,FALSE,FALSE,0.945451731,0.710634266,0.938632002
101,TRUE,FALSE,TRUE,0.945451731,1.015595328,0.990746354
102,FALSE,FALSE,TRUE,0.945451731,0.908353227,0.977716532
103,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
104,TRUE,FALSE,TRUE,0.945451731,1.023435855,0.996442212
105,FALSE,FALSE,TRUE,0.945451731,0.848319676,0.998629415
106,TRUE,FALSE,TRUE,0.945451731,0.572799549,1.004110756
107,FALSE,FALSE,TRUE,0.945451731,0.860483368,0.999763715
108,FALSE,FALSE,TRUE,0.945451731,0.794221134,0.965102492
109,FALSE,FALSE,TRUE,0.945451731,0.964135384,0.994535384
111,FALSE,FALSE,TRUE,0.945451731,0.990054958,0.983006462
112,FALSE,FALSE,TRUE,0.945451731,0.88415069,0.988771756
113,FALSE,FALSE,TRUE,0.945451731,0.91702349,0.983149031
114,FALSE,FALSE,TRUE,0.945451731,0.734653595,0.939709236
115,TRUE,TRUE,FALSE,0.945451731,0.982159157,1.002692102
116,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
117,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
118,FALSE,FALSE,TRUE,0.945451731,0.880627056,0.992786012
119,TRUE,FALSE,FALSE,0.945451731,0.975377379,0.996936288
120,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
121,FALSE,FALSE,TRUE,0.945451731,0.986078745,0.986191832
122,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
123,FALSE,FALSE,TRUE,0.945451731,0.976792669,0.988893039
124,TRUE,TRUE,FALSE,0.945451731,0.963375375,1.005768359
125,FALSE,FALSE,TRUE,0.945451731,0.873966539,0.976190214
126,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
127,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
128,TRUE,FALSE,FALSE,0.945451731,1.068852141,0.990095162
129,FALSE,FALSE,TRUE,0.945451731,0.906364462,0.986899232
130,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
131,FALSE,FALSE,TRUE,0.945451731,0.70900962,0.940716365
132,FALSE,FALSE,TRUE,0.945451731,0.820579412,0.968815222
133,TRUE,TRUE,FALSE,0.945451731,0.990743972,1.001342181
134,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
135,FALSE,FALSE,TRUE,0.945451731,0.961282731,0.996009688
136,FALSE,FALSE,TRUE,0.945451731,1.032646748,1.001960333
137,TRUE,TRUE,FALSE,0.945451731,0.963375375,1.005768359
138,FALSE,FALSE,TRUE,0.945451731,0.87096945,0.989590739
139,FALSE,FALSE,TRUE,0.945451731,0.801288112,0.992544046
140,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
141,FALSE,FALSE,TRUE,0.945451731,0.979176035,0.998068081
142,FALSE,FALSE,TRUE,0.945451731,0.721297269,0.994412242
143,FALSE,FALSE,TRUE,0.945451731,0.911050297,0.991149728
144,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
145,FALSE,FALSE,TRUE,0.945451731,0.961978263,0.99892769
146,FALSE,FALSE,TRUE,0.945451731,0.986964139,0.999371572
147,FALSE,FALSE,FALSE,0.945451731,1.119679843,0.994151972
148,FALSE,FALSE,FALSE,0.945451731,0.720818275,0.939447374
149,TRUE,TRUE,FALSE,0.945451731,1.052978491,1.011302044
150,FALSE,FALSE,TRUE,0.945451731,0.891881305,0.983072582
151,TRUE,TRUE,FALSE,0.945451731,0.710622189,0.938631533
152,TRUE,TRUE,FALSE,0.945451731,1.004772411,0.99919728
153,FALSE,FALSE,TRUE,0.945451731,0.939422528,0.979182031
154,TRUE,TRUE,FALSE,0.945451731,0.973949496,1.006326937
155,TRUE,FALSE,FALSE,0.945451731,0.886673894,0.958232317
156,TRUE,FALSE,FALSE,0.945451731,1.007255162,0.992001459
157,FALSE,FALSE,TRUE,0.945451731,0.817577743,0.971575517
158,FALSE,FALSE,TRUE,0.945451731,0.948182777,0.999308502
